,speaker,dialogue,sentences,sentiment,entities,tokens
77,Sif,It is forbidden!,"[{'content': u'It is forbidden!', 'begin': 0, 'score': -0.1, 'magnitude': 0.1}]","{'score': -0.1, 'magnitude': 0.1}",[],"[{'index': 2, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJPASS', 'content': u'It', 'lemma': u'It'}, {'index': 2, 'begin': 3, 'pos': u'VERB', 'label': u'AUXPASS', 'content': u'is', 'lemma': u'be'}, {'index': 2, 'begin': 6, 'pos': u'VERB', 'label': u'ROOT', 'content': u'forbidden', 'lemma': u'forbid'}, {'index': 2, 'begin': 15, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]"
78,Thor,"My friends, have you forgotten all that we have done together? Fandral, Hogun, who led you into the most glorious battles?","[{'content': u'My friends, have you forgotten all that we have done together?', 'begin': 0, 'score': 0, 'magnitude': 0}, {'content': u'Fandral, Hogun, who led you into the most glorious battles?', 'begin': 63, 'score': 0.4, 'magnitude': 0.4}]","{'score': 0.2, 'magnitude': 0.4}","[{'salience': 0.5032969, 'meta': {}, 'type': u'PERSON', 'name': u'friends', 'mentions': [u'friends']}, {'salience': 0.42282578, 'meta': {u'mid': u'/m/09hgp2', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Fandral'}, 'type': u'PERSON', 'name': u'Fandral', 'mentions': [u'Fandral']}, {'salience': 0.039430834, 'meta': {u'mid': u'/m/09hgsy', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Hogun'}, 'type': u'PERSON', 'name': u'Hogun', 'mentions': [u'Hogun']}, {'salience': 0.03444645, 'meta': {}, 'type': u'EVENT', 'name': u'battles', 'mentions': [u'battles']}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'POSS', 'content': u'My', 'lemma': u'My'}, {'index': 5, 'begin': 3, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'friends', 'lemma': u'friend'}, {'index': 5, 'begin': 10, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 5, 'begin': 12, 'pos': u'VERB', 'label': u'AUX', 'content': u'have', 'lemma': u'have'}, {'index': 5, 'begin': 17, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you'}, {'index': 5, 'begin': 21, 'pos': u'VERB', 'label': u'ROOT', 'content': u'forgotten', 'lemma': u'forget'}, {'index': 5, 'begin': 31, 'pos': u'DET', 'label': u'DOBJ', 'content': u'all', 'lemma': u'all'}, {'index': 10, 'begin': 35, 'pos': u'DET', 'label': u'DOBJ', 'content': u'that', 'lemma': u'that'}, {'index': 10, 'begin': 40, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'we', 'lemma': u'we'}, {'index': 10, 'begin': 43, 'pos': u'VERB', 'label': u'AUX', 'content': u'have', 'lemma': u'have'}, {'index': 6, 'begin': 48, 'pos': u'VERB', 'label': u'RCMOD', 'content': u'done', 'lemma': u'do'}, {'index': 10, 'begin': 53, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'together', 'lemma': u'together'}, {'index': 5, 'begin': 61, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}, {'index': 13, 'begin': 63, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Fandral', 'lemma': u'Fandral'}, {'index': 13, 'begin': 70, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 13, 'begin': 72, 'pos': u'NOUN', 'label': u'APPOS', 'content': u'Hogun', 'lemma': u'Hogun'}, {'index': 13, 'begin': 77, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 18, 'begin': 79, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'who', 'lemma': u'who'}, {'index': 13, 'begin': 83, 'pos': u'VERB', 'label': u'RCMOD', 'content': u'led', 'lemma': u'lead'}, {'index': 18, 'begin': 87, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'you', 'lemma': u'you'}, {'index': 18, 'begin': 91, 'pos': u'ADP', 'label': u'PREP', 'content': u'into', 'lemma': u'into'}, {'index': 24, 'begin': 96, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 23, 'begin': 100, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'most', 'lemma': u'most'}, {'index': 24, 'begin': 105, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'glorious', 'lemma': u'glorious'}, {'index': 20, 'begin': 114, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'battles', 'lemma': u'battle'}, {'index': 13, 'begin': 121, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]"
79,Hogun,You did.,"[{'content': u'You did.', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}",[],"[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'You', 'lemma': u'You'}, {'index': 1, 'begin': 4, 'pos': u'VERB', 'label': u'ROOT', 'content': u'did', 'lemma': u'do'}, {'index': 1, 'begin': 7, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
80,Thor,"And Volstagg, to delicacies so succulent you though you'd died and gone to Valhalla?","[{'content': u""And Volstagg, to delicacies so succulent you though you'd died and gone to Valhalla?"", 'begin': 0, 'score': 0.8, 'magnitude': 0.8}]","{'score': 0.8, 'magnitude': 0.8}","[{'salience': 0.5486714, 'meta': {u'mid': u'/m/09hgm0', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Volstagg'}, 'type': u'PERSON', 'name': u'Volstagg', 'mentions': [u'Volstagg']}, {'salience': 0.37189865, 'meta': {}, 'type': u'OTHER', 'name': u'delicacies', 'mentions': [u'delicacies']}, {'salience': 0.0794299, 'meta': {u'mid': u'/m/038w7c', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Valhalla_(comics)'}, 'type': u'PERSON', 'name': u'Valhalla', 'mentions': [u'Valhalla']}]","[{'index': 11, 'begin': 0, 'pos': u'CONJ', 'label': u'CC', 'content': u'And', 'lemma': u'And'}, {'index': 11, 'begin': 4, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Volstagg', 'lemma': u'Volstagg'}, {'index': 11, 'begin': 12, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 11, 'begin': 14, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 3, 'begin': 17, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'delicacies', 'lemma': u'delicacy'}, {'index': 6, 'begin': 28, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'so', 'lemma': u'so'}, {'index': 4, 'begin': 31, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'succulent', 'lemma': u'succulent'}, {'index': 11, 'begin': 41, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you'}, {'index': 11, 'begin': 45, 'pos': u'ADP', 'label': u'MARK', 'content': u'though', 'lemma': u'though'}, {'index': 11, 'begin': 52, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you'}, {'index': 11, 'begin': 55, 'pos': u'VERB', 'label': u'AUX', 'content': u""'d"", 'lemma': u""'d""}, {'index': 11, 'begin': 58, 'pos': u'VERB', 'label': u'ROOT', 'content': u'died', 'lemma': u'die'}, {'index': 11, 'begin': 63, 'pos': u'CONJ', 'label': u'CC', 'content': u'and', 'lemma': u'and'}, {'index': 11, 'begin': 67, 'pos': u'VERB', 'label': u'CONJ', 'content': u'gone', 'lemma': u'go'}, {'index': 13, 'begin': 72, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 14, 'begin': 75, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Valhalla', 'lemma': u'Valhalla'}, {'index': 11, 'begin': 83, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]"
81,Volstagg,You did.,"[{'content': u'You did.', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}",[],"[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'You', 'lemma': u'You'}, {'index': 1, 'begin': 4, 'pos': u'VERB', 'label': u'ROOT', 'content': u'did', 'lemma': u'do'}, {'index': 1, 'begin': 7, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
82,Thor,Yes! And who proved wrong all who scoffed at the idea that a young maiden could be one of the fiercest warriors this realm has ever known?,"[{'content': u'Yes!', 'begin': 0, 'score': 0.3, 'magnitude': 0.3}, {'content': u'And who proved wrong all who scoffed at the idea that a young maiden could be one of the fiercest warriors this realm has ever known?', 'begin': 5, 'score': -0.6, 'magnitude': 0.6}]","{'score': -0.1, 'magnitude': 1}","[{'salience': 0.55871975, 'meta': {}, 'type': u'PERSON', 'name': u'maiden', 'mentions': [u'maiden', u'one']}, {'salience': 0.14016752, 'meta': {}, 'type': u'PERSON', 'name': u'all', 'mentions': [u'all']}, {'salience': 0.12687808, 'meta': {}, 'type': u'OTHER', 'name': u'idea', 'mentions': [u'idea']}, {'salience': 0.0871173, 'meta': {}, 'type': u'PERSON', 'name': u'warriors', 'mentions': [u'warriors']}, {'salience': 0.0871173, 'meta': {}, 'type': u'OTHER', 'name': u'realm', 'mentions': [u'realm']}]","[{'index': 0, 'begin': 0, 'pos': u'X', 'label': u'ROOT', 'content': u'Yes', 'lemma': u'Yes'}, {'index': 0, 'begin': 3, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}, {'index': 4, 'begin': 5, 'pos': u'CONJ', 'label': u'CC', 'content': u'And', 'lemma': u'And'}, {'index': 4, 'begin': 9, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'who', 'lemma': u'who'}, {'index': 4, 'begin': 13, 'pos': u'VERB', 'label': u'ROOT', 'content': u'proved', 'lemma': u'prove'}, {'index': 4, 'begin': 20, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'wrong', 'lemma': u'wrong'}, {'index': 4, 'begin': 26, 'pos': u'DET', 'label': u'DOBJ', 'content': u'all', 'lemma': u'all'}, {'index': 8, 'begin': 30, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'who', 'lemma': u'who'}, {'index': 6, 'begin': 34, 'pos': u'VERB', 'label': u'RCMOD', 'content': u'scoffed', 'lemma': u'scoff'}, {'index': 8, 'begin': 42, 'pos': u'ADP', 'label': u'PREP', 'content': u'at', 'lemma': u'at'}, {'index': 11, 'begin': 45, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 9, 'begin': 49, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'idea', 'lemma': u'idea'}, {'index': 17, 'begin': 54, 'pos': u'ADP', 'label': u'MARK', 'content': u'that', 'lemma': u'that'}, {'index': 15, 'begin': 59, 'pos': u'DET', 'label': u'DET', 'content': u'a', 'lemma': u'a'}, {'index': 15, 'begin': 61, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'young', 'lemma': u'young'}, {'index': 17, 'begin': 67, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'maiden', 'lemma': u'maiden'}, {'index': 17, 'begin': 74, 'pos': u'VERB', 'label': u'AUX', 'content': u'could', 'lemma': u'could'}, {'index': 11, 'begin': 80, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'be', 'lemma': u'be'}, {'index': 17, 'begin': 83, 'pos': u'NUM', 'label': u'ATTR', 'content': u'one', 'lemma': u'one'}, {'index': 18, 'begin': 87, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 22, 'begin': 90, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 22, 'begin': 94, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'fiercest', 'lemma': u'fierce'}, {'index': 19, 'begin': 103, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'warriors', 'lemma': u'warrior'}, {'index': 24, 'begin': 112, 'pos': u'DET', 'label': u'DET', 'content': u'this', 'lemma': u'this'}, {'index': 27, 'begin': 117, 'pos': u'NOUN', 'label': u'NSUBJPASS', 'content': u'realm', 'lemma': u'realm'}, {'index': 27, 'begin': 123, 'pos': u'VERB', 'label': u'AUX', 'content': u'has', 'lemma': u'have'}, {'index': 27, 'begin': 127, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'ever', 'lemma': u'ever'}, {'index': 22, 'begin': 132, 'pos': u'VERB', 'label': u'RCMOD', 'content': u'known', 'lemma': u'know'}, {'index': 4, 'begin': 137, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]"
83,Sif,I did!,"[{'content': u'I did!', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}",[],"[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I'}, {'index': 1, 'begin': 2, 'pos': u'VERB', 'label': u'ROOT', 'content': u'did', 'lemma': u'do'}, {'index': 1, 'begin': 5, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]"
84,Thor,"True, but I supported you, Sif.","[{'content': u'True, but I supported you, Sif.', 'begin': 0, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 0.2}","[{'salience': 1, 'meta': {}, 'type': u'PERSON', 'name': u'Sif', 'mentions': [u'Sif']}]","[{'index': 0, 'begin': 0, 'pos': u'ADJ', 'label': u'ROOT', 'content': u'True', 'lemma': u'True'}, {'index': 0, 'begin': 4, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 0, 'begin': 6, 'pos': u'CONJ', 'label': u'CC', 'content': u'but', 'lemma': u'but'}, {'index': 4, 'begin': 10, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I'}, {'index': 0, 'begin': 12, 'pos': u'VERB', 'label': u'CONJ', 'content': u'supported', 'lemma': u'support'}, {'index': 4, 'begin': 22, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'you', 'lemma': u'you'}, {'index': 5, 'begin': 25, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 5, 'begin': 27, 'pos': u'NOUN', 'label': u'APPOS', 'content': u'Sif', 'lemma': u'Sif'}, {'index': 0, 'begin': 30, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
85,narrator,he turns to look at all of the,"[{'content': u'he turns to look at all of the', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'salience': 1, 'meta': {}, 'type': u'OTHER', 'name': u'all', 'mentions': [u'all']}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'he', 'lemma': u'he'}, {'index': 1, 'begin': 3, 'pos': u'VERB', 'label': u'ROOT', 'content': u'turns', 'lemma': u'turn'}, {'index': 3, 'begin': 9, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 1, 'begin': 12, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'look', 'lemma': u'look'}, {'index': 3, 'begin': 17, 'pos': u'ADP', 'label': u'PREP', 'content': u'at', 'lemma': u'at'}, {'index': 4, 'begin': 20, 'pos': u'DET', 'label': u'POBJ', 'content': u'all', 'lemma': u'all'}, {'index': 5, 'begin': 24, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 6, 'begin': 27, 'pos': u'DET', 'label': u'POBJ', 'content': u'the', 'lemma': u'the'}]"
86,Thor,"My friends, we're going to Jotunheim.","[{'content': u""My friends, we're going to Jotunheim."", 'begin': 0, 'score': 0.4, 'magnitude': 0.4}]","{'score': 0.4, 'magnitude': 0.4}","[{'salience': 0.8955363, 'meta': {}, 'type': u'PERSON', 'name': u'friends', 'mentions': [u'friends']}, {'salience': 0.10446371, 'meta': {}, 'type': u'OTHER', 'name': u'Jotunheim', 'mentions': [u'Jotunheim']}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'POSS', 'content': u'My', 'lemma': u'My'}, {'index': 5, 'begin': 3, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'friends', 'lemma': u'friend'}, {'index': 5, 'begin': 10, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 5, 'begin': 12, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'we', 'lemma': u'we'}, {'index': 5, 'begin': 14, 'pos': u'VERB', 'label': u'AUX', 'content': u""'re"", 'lemma': u'be'}, {'index': 5, 'begin': 18, 'pos': u'VERB', 'label': u'ROOT', 'content': u'going', 'lemma': u'go'}, {'index': 5, 'begin': 24, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 6, 'begin': 27, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Jotunheim', 'lemma': u'Jotunheim'}, {'index': 5, 'begin': 36, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
87,narrator,they are seen riding to the Bifrost,"[{'content': u'they are seen riding to the Bifrost', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'salience': 1, 'meta': {}, 'type': u'OTHER', 'name': u'Bifrost', 'mentions': [u'Bifrost']}]","[{'index': 2, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJPASS', 'content': u'they', 'lemma': u'they'}, {'index': 2, 'begin': 5, 'pos': u'VERB', 'label': u'AUXPASS', 'content': u'are', 'lemma': u'be'}, {'index': 2, 'begin': 9, 'pos': u'VERB', 'label': u'ROOT', 'content': u'seen', 'lemma': u'see'}, {'index': 2, 'begin': 14, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'riding', 'lemma': u'ride'}, {'index': 3, 'begin': 21, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 6, 'begin': 24, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 4, 'begin': 28, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Bifrost', 'lemma': u'Bifrost'}]"
88,Loki,Good Heimdall?,"[{'content': u'Good Heimdall?', 'begin': 0, 'score': 0.4, 'magnitude': 0.4}]","{'score': 0.4, 'magnitude': 0.4}","[{'salience': 1, 'meta': {}, 'type': u'OTHER', 'name': u'Heimdall', 'mentions': [u'Heimdall']}]","[{'index': 0, 'begin': 0, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'Good', 'lemma': u'Good'}, {'index': 0, 'begin': 5, 'pos': u'NOUN', 'label': u'DEP', 'content': u'Heimdall', 'lemma': u'Heimdall'}, {'index': 0, 'begin': 13, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]"
89,Heimdall,You're not dressed warmly enough. Do you think that you can deceive me?,"[{'content': u""You're not dressed warmly enough."", 'begin': 0, 'score': 0.5, 'magnitude': 0.5}, {'content': u'Do you think that you can deceive me?', 'begin': 34, 'score': -0.2, 'magnitude': 0.2}]","{'score': 0.1, 'magnitude': 0.8}",[],"[{'index': 3, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJPASS', 'content': u'You', 'lemma': u'You'}, {'index': 3, 'begin': 3, 'pos': u'VERB', 'label': u'AUXPASS', 'content': u""'re"", 'lemma': u'be'}, {'index': 3, 'begin': 7, 'pos': u'ADV', 'label': u'NEG', 'content': u'not', 'lemma': u'not'}, {'index': 3, 'begin': 11, 'pos': u'VERB', 'label': u'ROOT', 'content': u'dressed', 'lemma': u'dress'}, {'index': 5, 'begin': 19, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'warmly', 'lemma': u'warmly'}, {'index': 3, 'begin': 26, 'pos': u'ADJ', 'label': u'ADVMOD', 'content': u'enough', 'lemma': u'enough'}, {'index': 3, 'begin': 32, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 9, 'begin': 34, 'pos': u'VERB', 'label': u'AUX', 'content': u'Do', 'lemma': u'Do'}, {'index': 9, 'begin': 37, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you'}, {'index': 9, 'begin': 41, 'pos': u'VERB', 'label': u'ROOT', 'content': u'think', 'lemma': u'think'}, {'index': 13, 'begin': 47, 'pos': u'ADP', 'label': u'MARK', 'content': u'that', 'lemma': u'that'}, {'index': 13, 'begin': 52, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you'}, {'index': 13, 'begin': 56, 'pos': u'VERB', 'label': u'AUX', 'content': u'can', 'lemma': u'can'}, {'index': 9, 'begin': 60, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'deceive', 'lemma': u'deceive'}, {'index': 13, 'begin': 68, 'pos': u'PRON', 'label': u'DOBJ', 'content': u'me', 'lemma': u'me'}, {'index': 9, 'begin': 70, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]"
90,Loki,You must be mistaken...,"[{'content': u'You must be mistaken...', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}",[],"[{'index': 2, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'You', 'lemma': u'You'}, {'index': 2, 'begin': 4, 'pos': u'VERB', 'label': u'AUX', 'content': u'must', 'lemma': u'must'}, {'index': 2, 'begin': 9, 'pos': u'VERB', 'label': u'ROOT', 'content': u'be', 'lemma': u'be'}, {'index': 2, 'begin': 12, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'mistaken', 'lemma': u'mistaken'}, {'index': 2, 'begin': 20, 'pos': u'PUNCT', 'label': u'P', 'content': u'..', 'lemma': u'..'}, {'index': 2, 'begin': 22, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
91,Thor,"Enough! Heimdall, may we pass?","[{'content': u'Enough!', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}, {'content': u'Heimdall, may we pass?', 'begin': 8, 'score': -0.1, 'magnitude': 0.1}]","{'score': 0, 'magnitude': 0.3}","[{'salience': 1, 'meta': {}, 'type': u'OTHER', 'name': u'Heimdall', 'mentions': [u'Heimdall']}]","[{'index': 0, 'begin': 0, 'pos': u'ADJ', 'label': u'ROOT', 'content': u'Enough', 'lemma': u'Enough'}, {'index': 0, 'begin': 6, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}, {'index': 6, 'begin': 8, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Heimdall', 'lemma': u'Heimdall'}, {'index': 6, 'begin': 16, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 6, 'begin': 18, 'pos': u'VERB', 'label': u'AUX', 'content': u'may', 'lemma': u'may'}, {'index': 6, 'begin': 22, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'we', 'lemma': u'we'}, {'index': 6, 'begin': 25, 'pos': u'VERB', 'label': u'ROOT', 'content': u'pass', 'lemma': u'pass'}, {'index': 6, 'begin': 29, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]"
92,Heimdall,Never has an enemy slipped my watch until this day. I wish to know how that happened?,"[{'content': u'Never has an enemy slipped my watch until this day.', 'begin': 0, 'score': -0.6, 'magnitude': 0.6}, {'content': u'I wish to know how that happened?', 'begin': 52, 'score': -0.2, 'magnitude': 0.2}]","{'score': -0.4, 'magnitude': 0.8}","[{'salience': 0.6068485, 'meta': {}, 'type': u'OTHER', 'name': u'enemy', 'mentions': [u'enemy']}, {'salience': 0.39315155, 'meta': {}, 'type': u'CONSUMER_GOOD', 'name': u'watch', 'mentions': [u'watch']}]","[{'index': 1, 'begin': 0, 'pos': u'ADV', 'label': u'NEG', 'content': u'Never', 'lemma': u'Never'}, {'index': 1, 'begin': 6, 'pos': u'VERB', 'label': u'ROOT', 'content': u'has', 'lemma': u'have'}, {'index': 3, 'begin': 10, 'pos': u'DET', 'label': u'DET', 'content': u'an', 'lemma': u'an'}, {'index': 4, 'begin': 13, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'enemy', 'lemma': u'enemy'}, {'index': 1, 'begin': 19, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'slipped', 'lemma': u'slip'}, {'index': 6, 'begin': 27, 'pos': u'PRON', 'label': u'POSS', 'content': u'my', 'lemma': u'my'}, {'index': 4, 'begin': 30, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'watch', 'lemma': u'watch'}, {'index': 4, 'begin': 36, 'pos': u'ADP', 'label': u'PREP', 'content': u'until', 'lemma': u'until'}, {'index': 9, 'begin': 42, 'pos': u'DET', 'label': u'DET', 'content': u'this', 'lemma': u'this'}, {'index': 7, 'begin': 47, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'day', 'lemma': u'day'}, {'index': 1, 'begin': 50, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 12, 'begin': 52, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'I', 'lemma': u'I'}, {'index': 12, 'begin': 54, 'pos': u'VERB', 'label': u'ROOT', 'content': u'wish', 'lemma': u'wish'}, {'index': 14, 'begin': 59, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 12, 'begin': 62, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'know', 'lemma': u'know'}, {'index': 17, 'begin': 67, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'how', 'lemma': u'how'}, {'index': 17, 'begin': 71, 'pos': u'DET', 'label': u'NSUBJ', 'content': u'that', 'lemma': u'that'}, {'index': 14, 'begin': 76, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'happened', 'lemma': u'happen'}, {'index': 12, 'begin': 84, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]"
