narrator,movie opens with a 4 year-old Peter Parker playing hide and seek and looking for his father
Receptionist,Are you having trouble finding yourself?
Peter Parker,No. I got it. [he quickly picks up a badge for Rodrigo Guevara]
Receptionist,"Okay, Mr. Guevara."
Peter Parker,Gracias. [as Peter heads upstairs in OsCorp Tower he finds the group of interns gather and Gwen introducing herself to them]
Gwen Stacy,"Welcome to OsCorp. My name is Gwen Stacy, I'm a senior at Midtown Science and I'm also head intern to Dr. Connors, so I'll be with you for the duration of your visit. Where I go, you go. That's the basic rule. If you remember that, all will be fine. If you forget that, then... [at that moment we hear the real Rodrigo Guevara shouting his name as he's being dragged away by security] Well, I guess I don't need to tell you what happens if you forget that. Shall we. [Peter tries to hide his face and stay in the back as Gwen gives the interns a tour of OsCorp] [as Gwen takes the interns to a lab in OsCorp, with Peter hiding in the back of the group, Connors appears and addresses the interns]"
Dr. Curt Connors,"Welcome, my name is Dr. Curtis Connors. And yes, in case you're wondering, I'm a southpaw. [the interns laugh] I'm not a cripple, I'm a former scientist and I'm the world's foremost authority on herpetology. That's reptiles, for those of you who don't know. But like the Parkinson's patient who watches on in horror as her body slowly betrays her, or the man with macular degeneration who's eyes grow dimer each day, I long to fix myself. I want to create a world without weakness. Anyone care to venture a guess just how? [one of the interns puts up their hand] Yes?"
OsCorp Intern,Stem cells?
Dr. Curt Connors,"Promising, but the solution I'm thinking of is more radical. [the interns all look at each other] No one?"
Peter Parker,"Cross-species genetics. [everyone turns and looks at Peter at the back of the group, Gwen looks at her list of intern names] A person gets Parkinson's when the brain cells that produce dopamine start to disappear. But the zebrafish has the ability to regenerate cells on command. If you can somehow give this ability to the woman you're talking about, that's that. She's...she's curing herself."
OsCorp Intern,"Yeah, you just have to look past the gills on her neck. [the other interns laugh]"
Dr. Curt Connors,And you are?
Gwen Stacy,He's one of Midtown Science's best and brightest.
Dr. Curt Connors,Really?
Gwen Stacy,Hmm. He's second in his class.
Dr. Curt Connors,Oh.
Peter Parker,Second?
Gwen Stacy,Yeah.
Peter Parker,You sure about that?
Gwen Stacy,"I'm pretty sure. [at that moment Connors phone rings and he excuses himself and leaves the interns with Gwen] [after Connors leaves, Peter tries to sneak away but Gwen stops him] Hi. How you doin', Rodrigo? [Peter looks at his badge and realizes that she's referring to the name on his badge]"
Peter Parker,"Oh, yeah."
Gwen Stacy,What are you doing here?
Peter Parker,"I work here. I don't work here. I was gonna say...I was gonna say I work here, but I seems like in fact you work here. So you know that I don't in fact work here."
Gwen Stacy,Are you following me?
Peter Parker,"No, I'm not following...I'm not following you. No, I'm not. I had no idea worked here."
Gwen Stacy,Then why would you be here?
Peter Parker,"I just snuck in because, I love science."
Gwen Stacy,You love science?
Peter Parker,I am passionate about it.
Gwen Stacy,So you snuck in. I have to lead this tour group.
Peter Parker,I know.
Gwen Stacy,So I'm gonna ask you more about this later. Do not get me in trouble.
Peter Parker,"I promise you, I won't."
Gwen Stacy,"Stay with the group. [as Gwen heads back to take the interns round the building, Peter tries to sneak off but bumps into Rajit Ratha, who drops a file that has the same double zero symbol that Peter saw in his father's file]"
Dr. Curt Connors,"We received the results from the MRNA sequences, they were disappointing."
Rajit Ratha,So define disappointing.
Dr. Curt Connors,I'm at a dead end. It's the Decay Rate Algorithm. But this is to be expected.
Rajit Ratha,Expected? You said you were close.
Dr. Curt Connors,"We are close, but it's gonna take time."
Rajit Ratha,"He doesn't have time. Norman Osborn is dying, Dr. Connors. Save him, or we'll both lose our heads. [as Peter goes back to rejoin the intern group, Gwen notices that he'd snuck off again]"
Peter Parker,I...
Gwen Stacy,"Give me the badge. Give it to me. [Peter reluctantly takes the badge off, as he does this we one of the spider from the lab crawling on the back of Peter's coat collar, Peter gives the badge back to Gwen]"
Peter Parker,"Sorry. [as Gwen turns to leave, suddenly Peter is bit on the back of his neck by the spider] [after getting bit by the spider, Peter's leaves OsCorp and takes a ride on the subway and falls asleep, a thug seeing Peter asleep decides to balance a beer bottle on Peter's forehead, when a drop of condensation touches Peter's skin, he suddenly springs awake and lands on the subway car ceiling, hanging upside down and then falls down, then as the beer had spilled on the thug's girlfriend she starts complaining]"
Girl on Subway,Disgusting! Now I smell like beer!
Peter Parker,I'm sorry. I didn't mean to do that. I...I uh...I [as Peter tries to apologize to her his hand sticks to her shirt]
Subway Guy,Get your hand off her!
Peter Parker,I'm trying...to get my hand... [the thug gets angry and pushes Peter which tears his girlfriends shirt right off]
Subway Guy,Are you kidding?
Peter Parker,I'm sorry.
Subway Guy,"Are you freaking kidding me? [the thug gets angry and tries to attack Peter, but suddenly Peter is fast with incredible reflexes and moves so fast that the thug falls and hurts himself]"
Peter Parker,"I'm sorry! Oh, man, are you alright? [Peter senses the other thugs moving to attack him and he quickly lifts his legs and knocks them out] [after the subway incident, Peter runs home and sees his aunt and uncle waiting up for him]"
Peter Parker,"Hey, sorry, I'm late. I uh..."
Aunt May,We were so worried!
Peter Parker,"I know, I'm sorry. Watch...! [suddenly Peter sees a fly and quickly captures it with his hand]"
Aunt May,"That's a fly, Peter. [Peter looks at the fly and then lets it go]"
Peter Parker,"Yeah. I'm so sorry I kept you guys up. I'm insensitive, I'm irresponsible. And I'm hungry! [Peter goes into the kitchen and takes out a plate of food from the fridge and starts eating]"
Aunt May,Is he okay?
Uncle Ben,I don't think so.
Peter Parker,[as he's chomping down the food] This is...this is your meatloaf. This beats all other meatloafs!
Aunt May,[to Ben] Something is very wrong.
Uncle Ben,"Yeah. Nobody likes your meatloaf. [Peter's aunt and uncle stare in shock as Peter empties the fridge and heads to his room, May catches one of the items as falls from his arm]"
Aunt May,[to Ben as they watch Peter go upstairs] He took the frozen macaroni and cheese!
Uncle Ben,I noticed that.
Aunt May,Why didn't you tell me you didn't like my meatloaf?
Uncle Ben,Um...
Aunt May,"You could have said that to me thirty seven years ago! How many meatloafs have I made for you?! [in his room, Peter is sweating and touches the spider bite at the back of his neck, he pulls away a thread of silk from which the spider is still clinging onto, the next morning Peter wakes up and not realizing his own strength breaks his alarm clock and his bathroom sink as he tries to brush his teeth, as he heads back to his room he starts hearing the spider that's crawling on his window, scared as what's happening to him he starts to look up spider bites online, after which the keypads on his computer stick to his fingers] [Peter goes to visit Connors at his home]"
Peter Parker,"Dr. Connors, uh...you don't remember me. I uh..."
Dr. Curt Connors,You're the intern from the other day.
Peter Parker,"Yeah, that's right."
Dr. Curt Connors,"I'm sure you're a very nice young man, but this is a home. I'd ask you to make an appointment in my office. [as Connors is about the shut the door]"
Dr. Curt Connors,"Peter? [as Connors pours coffee for them] I'm afraid I can't help you much, Peter. I don't know why they left or where they were going. [Connors accidently knocks down one of the coffee cups which Peter quickly catches] Good reflexes."
Peter Parker,Thank you. [Peter passes Connors coffee up to him]
Dr. Curt Connors,Thank you.
Peter Parker,I read your book.
Dr. Curt Connors,Oh?
Peter Parker,"Yeah. It's something. So you really think its possible, cross-species genetics?"
Dr. Curt Connors,"Yes, of course. But for years your father and I were mocked for our theories, not just in the community at large, but at OsCorp as well. They called us mad scientists. And then your father bred the spider and everything changed. The results were beyond encouraging, they were spectacular. We were gonna change the live of millions, including my own. Then it was over. He...he was gone, took his research with him. And then I knew without him I...I...I was angry, so I stayed away from you and your family. And for that I'm truly sorry."
Peter Parker,Say...say it worked. Say you got it to work. Like how much would the foreign species take over? What...what could the side effects be?
Dr. Curt Connors,"It's hard to say, considering no subjects survived. The problem was always..."
Peter Parker,Decay Rate Algorithm?
Dr. Curt Connors,Right.
Peter Parker,[Peter points to a pencil paper] Right. Can I uh...
Dr. Curt Connors,"Of course. [Peter sits and writes out the algorithm from his father's notes and passes it to Connors] Extraordinary. How did you come up with this? [Peter points to his head and smiles] Peter, how would you feel about coming to see me at the Tower one day after school?"
Peter Parker,Yeah.
Dr. Curt Connors,Thank you. [after Peter is pulled into the principal's office for humiliating Flash whilst playing basketball and shattering the backboard as he dunks the ball over Flash's head]
Peter Parker,I hope they're not gonna make us pay for the backboard.
Uncle Ben,I don't care about the backboard. Was that true?
Peter Parker,What?
Uncle Ben,"What I heard in there, just now? Did you humiliate that boy?"
Peter Parker,"Yeah, I did. But..."
Uncle Ben,But what?
Peter Parker,This guy...this guy deserved it.
Uncle Ben,Did he?
Peter Parker,Yeah.
Uncle Ben,Is he the kid that hit you? [Peter looks away] Is he?
Peter Parker,"Yeah. Yeah, but..."
Uncle Ben,"So all this is about getting even? If so, I guess you must feel pretty good about yourself now, right? Am I right or wrong? [Peter doesn't reply and looks down] Yeah, I thought so. Well, thanks to this little escapade of yours, I had to change shifts at work. So you have to pick Aunt May tonight at nine o'clock, understood? Is that understood?"
Peter Parker,Yeah.
Uncle Ben,"Okay. Good. [as they stand in the school hallway, Ben notices Gwen standing behind them] She looks familiar. [Peter looks back and sees it's Gwen] She's the girl on your computer. Yeah. [to Gwen] He's got you on his computer. I'm his probation officer. [to Peter] Don't forget Aunt May."
Peter Parker,Okay. [Ben walks off and Peter laughs nervously as he turns to Gwen] He's a character. He's my uncle. He um...he's a pathological lier and thought you were someone else.
Gwen Stacy,"[jokingly] Oh, man. You don't have me on your computer?"
Peter Parker,"Yeah. Well, I mean like, I had a...I took a photo of the debate team and you're in the debate team, so."
Gwen Stacy,Right.
Peter Parker,"So, he must have seen...um...cause I was touching up stuff."
Gwen Stacy,You were touching up stuff? [they both laugh]
Peter Parker,I was...I was...I'm not gonna answer that.
Gwen Stacy,Did you get expelled?
Peter Parker,No. No. I didn't get expelled. I got community service. Um...so uh...you wanna uh...I don't know. Um...
Gwen Stacy,Wanna what?
Peter Parker,"I don't know. Just uh....I don't know. I don't know. We could uh...or we could do something else. Or we could, if you don't like...we could..."
Gwen Stacy,What? Yeah.
Peter Parker,Yeah?
Gwen Stacy,"Yeah, either one."
Peter Parker,Really?
Gwen Stacy,Sure.
Peter Parker,Okay. Good. Sounds good.
Gwen Stacy,Cool.
Peter Parker,"Okay. You know, I can't right now. I can't right now."
Gwen Stacy,"Yeah, I know."
Peter Parker,I'm so busy right now.
Gwen Stacy,Me too.
Peter Parker,But uh...maybe uh...
Gwen Stacy,"Yeah, just, you know?"
Peter Parker,Some other...
Gwen Stacy,Time.
Peter Parker,Okay. Alright. [Gwen turns]
Gwen Stacy,"Bye. [Peter watches Gwen as she walks down the hallway and she turns and smiles at him] [after visiting Connors at OsCorp Tower, Peter notices an old piece of equipment in the lab]"
Peter Parker,"I remember that, I've seen that before."
Dr. Curt Connors,The Ganali Device.
Peter Parker,"Yeah, I remember a picture of that in my dad's office."
Dr. Curt Connors,"The idea was so simple, you load it with an antigen, it creates a cloud which can be dispersed over a neighborhood, even an entire city. Theoretically you could cure Polio in an afternoon."
Peter Parker,It's incredible.
Dr. Curt Connors,"Well, others disagreed. You know, what if the device were loaded with a toxin? What if you wanted to opt out? You can't run away from a cloud after all, so here it lies, gathering dust. What you see here is a computer model of lizard. Many of these wonderful creatures are so brilliantly adaptive that they can regenerate entire limbs at will. You can imagine my envy. We're trying to harness this capability in transferring into our host subject, Freddie, the three legged mouse. [to Peter] Enter the algorithm now. [just as Peter is about the enter his father's algorithm into the computer, he gets a call from his uncle] Do you need to take that? [Peter shakes his head and rejects the call]"
Peter Parker,Okay. Check. See what I'm trying to do?
Dr. Curt Connors,Preempt the protein.
Peter Parker,"Preempt the immune response. [after several failed attempts for the mouse to regrow a limb, the computer finally declares the regeneration has been successful and the mouse has regrown a limb]"
Dr. Curt Connors,"Extraordinary. [to Peter] And thank you. [then Connor shows Peter their live mouse test subjects] Meet Fred and Wilma, our three legged mice. [Connor gives one of the mice to Peter]"
Peter Parker,"Hey, buddy. I got you."
Dr. Curt Connors,"Okay. Careful, wouldn't want to inject you by mistake. Human trials aren't until next week. [he smiles at Peter and injects the mouse] There. [after his visit at OsCorp, Peter returns home late at night]"
Uncle Ben,"You owe your aunt an apology. Big time! Be a man, get in there an apologize. [they enter the house]"
Peter Parker,"I'm sorry, Aunt May. I..."
Aunt May,"Honestly, you don't have to apologize to me."
Uncle Ben,The hell he doesn't!
Aunt May,Ben.
Peter Parker,"Look, I'm sorry, Uncle Ben. I uh...I got distracted, I was OsCorp..."
Uncle Ben,"Oh, you got distracted."
Peter Parker,Yeah.
Uncle Ben,"You're Aunt, my wife, had to walk twelve blocks, alone in the middle of night and then wait in a deserted subway station, because you got distracted."
Aunt May,"Ben, sweetheart, honestly, I am completely capable of walking home by myself..."
Uncle Ben,You will not defend this boy!
Aunt May,I'm not defending him!
Uncle Ben,"You are defending him! Listen to me, son."
Peter Parker,"Yeah, go ahead."
Uncle Ben,"You're a lot like your father. You really are, Peter, and that's a good thing. But your father lived by a philosophy, a principle really. He believed that...that if you could do good things for other people, you had a moral obligation to do those things. That's what at stake here. Not a choice, responsibility."
Peter Parker,"That is nice. That's really...that's great. That's all well and good, so where is he?"
Uncle Ben,What?
Peter Parker,Where is he? Where's my dad? He didn't think it was his responsibility to be here and tell me this himself?
Uncle Ben,"Oh, come on! How dare you?"
Peter Parker,How dare I? How dare you? [Peter turns and walks out of the house in anger]
Uncle Ben,"Where are you going? Peter, come back here! Please! [as Peter closes the front door, not realizing his own strength, the glass completely shatters, Peter runs off]"
Aunt May,"Ben, leave him alone for a little while. He'll be alright. [Ben goes after Peter, calling out his name, we Peter hiding up a subway pole] [after his angry encounter with his uncle, Peter goes to the grocery store to buy chocolate milk]"
Store Clerk,That's two-o-seven. [Peters puts his money on the counter but it's not enough] Uh...it's two-o-seven.
Peter Parker,"Yeah. No, I know."
Store Clerk,"Here, you're holding up the line. [Peter takes pennies from the ""leave a penny, take a penny"" tray to make up the difference] No, you can leave a penny. You can't take a penny."
Peter Parker,What?
Store Clerk,"You can't leave a penny anytime, you have to spend ten dollars to take a penny. Store policy. You gonna pay? You're holding up my line!"
Peter Parker,I don't have two cents.
Store Clerk,"You can't afford your milk, just step aside. What, daddy didn't give you enough milk money today?"
Peter Parker,"It's two cents, we're talking about two cents."
Store Clerk,"Just step aside, kid. [Peter is about to leave when he notices that the next customer deliberately knocks a bunch of stuff off the counter] Really? [as the store clerk bends to collect the stuff off the floor, the customer grabs the cash from the till and tosses the chocolate milk that Peter couldn't buy to Peter before taking off, the store clerk goes after the thief and Peter watches him] Hey, stop! Somebody stop that guy! [to Peter] Hey, kid, a little help?"
Peter Parker,"Not my policy. [Peter turns and walks off, on the other side of the street, Ben hears the store clerk yelling for help, he sees the thief trip and fall, dropping a gun out of his coat, Ben tries to grab the gun but gets shot in the chest, Peter runs to help, but by the time he gets there Ben is dead] [Peter feeling guilty and miserable after his uncle's death, listens to the last voice message his uncle had left him]"
Uncle Ben,"Peter, I know things have been difficult lately, and I'm sorry about that. I think I know what you're feeling. [after his uncle's death, at school, Peter tries to keep his head down]"
Flash Thompson,"Hey, Parker?"
Peter Parker,"Not today, Flash."
Flash Thompson,"Hey, come on, man. I just wanna talk... [as Flash gives Peter a friendly pat on the back, suddenly Peter grabs Flash by the neck and and holds him against the lockers] It feels better, right? Look, your uncle died. I'm sorry. I get it. I'm sorry. [Peter lets Flash go and begins crying] Okay? [Peter nods his head, walks off and runs into Gwen, who was watching all this]"
Gwen Stacy,"Peter. [she hugs Peter, but he just walks away] [after Peter goes looking for thief that killed his uncle, Peter encounters a thug resembles the thief but after getting into a fight with him and saving him from falling off a building Peter sees that he doesn't have the star tattoo on his wrist and lets him go, as he walks away Peter falls through the roof and lands in a Mexican wresting wring]"
Thug,"I know what you look like! You hear me! I've seen your face! [Peter looks around him and sees an old Mexican wrestling poster and decides to make himself a mask based on this and as he hones his crime-fighting skills and designs mechanical web-shooters using the industrial spider silk packets from Oscorp] [referring to Peter, who's been intercepting criminals that look like the man that killed his uncle]"
Captain Stacy,You got a description?
Police Officer,"Well, no. He wears a mask."
Captain Stacy,A mask?
Police Officer,"Yeah, and most of his victims are suspects, some of them with serious rap sheets. They're calling him a vigilante."
Captain Stacy,"Okay, he's not a vigilante. He's an anarchist. [just then Peter drops one the criminals he captured in his spider web in front of the police headquarters after this Peter then customizes a spandex suit] [in a parking lot, a car thief brakes into a car, as he's about to start the car, Peter, dressed in his Spider-Man costume interrupts him]"
Spider-Man,"Ahem, you know, in the future, if you're gonna steal cars, don't dress like a car thief, man."
Car Thief,"What, are you a cop?"
Spider-Man,"Really? You seriously think I'm a cop? Cop in a skintight red and blue suit? You know, you're...you're...you got a mind of true scholar, sir. [Peter hits him in the face with his web-shooter] [as the car thief pulls a knife on Peter]"
Car Thief,Just let me go.
Spider-Man,"Is that a knife? Is that a real knife? [Spider-Man falls on his knees, pretending to be afraid]"
Car Thief,"Yes, it's a real knife."
Spider-Man,"My weakness, it's small knives."
Car Thief,Just let me go.
Spider-Man,"Anything, but knives! [suddenly Peter shoots his web-shooter capturing the hand of the thief holding the knife] Oh, it's so simple. That was cool, man."
Car Thief,What the hell is this?
Spider-Man,Webbing that I developed myself. I don't think you really wanna know anymore right now.
Car Thief,Come on! Let me go! [Spider-Man shoots his web-shooter again capturing the thief's other hand in a web]
Spider-Man,"Okay, one second! One second! [Spider-Man pretends to sneeze and shoot another web which lands in the middle of the thief's crotch]"
Car Thief,"Come on, let me go! [Spider-Man keeps shooting web at the thief] Stop it! [Peter laughs]"
Car Thief,That isn't funny!
Spider-Man,It is kind of funny.
Car Thief,Come on! Help! Help!
Spider-Man,"Ssh! [Spider-Man shoots another web which lands on the thief's mouth, shutting him up] [as Spider-Man has the thief wrapped up in his web against the wall, he checks the thief's wrist for the star tattoo, but sees that hasn't got one] This could have gotten a lot worse. Now, hold still. [Spider-Man cuts a hole in the web across the thief's mouth so that he can breath, at that moment a cop arrives on his bike] Oh, the boys in blue are here! I got him!"
Car Thief Cop,"[as the cop arrives, he points his gun at Spider-Man] Freeze! You in the tights, don't move!"
Spider-Man,You serious?
Car Thief Cop,Who are you?
Spider-Man,No one seems to grasp the concept of the mask. [Spider-Man moves towards the cop]
Car Thief Cop,"Freeze! [the cop starts shooting at Spider-Man, which Spider-Man easily dodges and then grabs his gun]"
Spider-Man,"I just did eighty percent of your job! Huh? That's how you repay me? [when the rest of the police arrive, Spider-Man makes a run for it]"
Captain Stacy,"[to the police officer's who have failed to capture Peter] Thirty-eight of New York's finest, versus one guy in a unitard. Am I correct? [Peter turns up late at home and find his aunt waiting up for him]"
Aunt May,Where were you?
Peter Parker,I was out.
Aunt May,Did you get the eggs?
Peter Parker,Nope. Forgot the eggs! I'm gonna get it now.
Aunt May,"No, you most certainly will not! Not at this hour! [Peter turns away from his aunt] Look at me, Peter? Take off the damn hood and look at me. [Peter takes off his hood and turns to face his aunt, his face looking beat up] Where do you go? Who does this to you?"
Peter Parker,"Please go to sleep, Aunt May."
Aunt May,Please tell me.
Peter Parker,"Aunt May, please, please please go to sleep!"
Aunt May,"I can't sleep! Don't you understand? I can't sleep! [there's a moment of silence] Peter, listen to me. Secrets have a cost, they're not for free. Not now, not ever."
Dr. Curt Connors,Cross-species genetics is finally working. I've used lizard DNA to help Freddie regrow that limb.
Rajit Ratha,It's a miracle.
Dr. Curt Connors,"No, it's hard work and a promise, and it's a step closer to the primate lab."
Rajit Ratha,"Ah, but he doesn't have time for every little step."
Dr. Curt Connors,Little?
Rajit Ratha,I just mean he can't wait.
Dr. Curt Connors,"Well, he'll have to. Unless he wants to be a lab rat."
Rajit Ratha,That's not what I'm saying.
Dr. Curt Connors,So what are you saying?
Rajit Ratha,"You have to start human trials, now."
Dr. Curt Connors,"No, I don't. And no, I won't."
Rajit Ratha,"Well, then he's going to die."
Dr. Curt Connors,"People die, even Norman Osborn."
Rajit Ratha,We are not finished.
Dr. Curt Connors,Human trials? Where on earth are you gonna find the people to volunteer?
Rajit Ratha,"The wards, as far as anyone's concerned, it's for a winter flu shot. I might think that veterans hospitals a place to start."
Dr. Curt Connors,You gotta be kidding me?
Rajit Ratha,"I don't think I am. [Connors turns to leave, but Ratha stops him by holding his amputated arm] It's a little late for shock and indignation, Curt. About fifteen years late."
Dr. Curt Connors,I've no idea what you're talking about?
Rajit Ratha,"Richard Parker wore it well. On you, it's a cheap suit, as it was then."
Dr. Curt Connors,I have nothing to do with that.
Rajit Ratha,"Is that what you told his son, Peter?"
Dr. Curt Connors,I don't know what you're saying.
Rajit Ratha,"You don't know, or you don't wanna know? [after Connors has refused to do human trials on the new cross-species genetics formula] [turning to the mouse] Right, Freddie? [Ratha walks out of the Connors office] [Gwen catches Peter in the school hallway]"
Peter Parker,How's it going?
Gwen Stacy,Where are you headed?
Peter Parker,"Uh...Monday, B-track."
Gwen Stacy,It's Thursday.
Peter Parker,It's Thursday?
Gwen Stacy,What happened to your eye?
Peter Parker,Where?
Gwen Stacy,"You're eye, it looks bruised."
Peter Parker,"Oh! Yeah, yeah! I don't know. Maybe I got a rash."
Gwen Stacy,It's pretty bad. Have you gone to the nurse?
Peter Parker,Mmhmm.
Gwen Stacy,Do you like branzino? [Peter looks at her blankly] Like the fish?
Peter Parker,"Mmhmm. No, I know. I know. I know."
Gwen Stacy,"Well, if you want, you can come to this address at uh...at eight o'clock tonight. [she writes the address on a piece of paper and gives it to Peter] My mom's making Branzino, so. [Peter looks at the address] Oh, it's apartment twenty sixteen. I didn't...I didn't write that part down. I don't why I didn't. [she turns and laughs]"
Peter Parker,I'll remember it.
Gwen Stacy,"Twenty sixteen. [Gwen walks off to her class] [that evening, Peter shows up outside Gwen's bedroom window and knocks on the window] Hi! How did you get out there?"
Peter Parker,The fire escape. Your doorman's intimidating.
Gwen Stacy,That's twenty stories!
Peter Parker,"Yeah, it's alright. [Peter enters Gwen's room] This is your room?"
Gwen Stacy,"Yes, this is my room."
Peter Parker,"[Peter looks around] Books. Pictures. [Gwen laughs] Oh, hey, uh...I got your mom these. [he takes out a bunch of broken looking flowers from his backpack]"
