Eric's Mom,(Shouting in German)
Raven,Hi. Guess I have to buy my own drink.
Charles,I'm sorry. One cola.
Amy,[to Raven] Charles here was just tell me that I'm like one of the first sea creatures that grew legs.
Charles,Tiny bit sexier.
Amy,(Chuckles)
Charles,I'm sorry. This is my sister Raven.
Raven,Hi.
Amy,Amy. And what do you study?
Raven,Waitressing.
Amy,Ah.
narrator,Raven turns one of her eyes to their natural yellow color
Amy,"Oh, look, you have heterochromia, too."
Charles,Sorry. What?
Amy,look at her eye.
narrator,he looks at Raven and notices what she's done
Charles,"(Clears throat) [annoyed] Right. Raven, get your coat, please. Don't talk me. You did on purpose."
Raven,I did not.
Charles,Yes you did.
Raven,"Why would I do it on purpose? You know I can't control it sometimes, if I'm stressed or I'm tired."
Charles,You seem to be doing a perfectly good job right now.
Raven (Imitating Amy),"""Mutant and proud."""
Charles,What?
Raven,"Or is that only with pretty mutations or invisible ones, like yours. But if you're a freak, better hide."
Charles,"You're being ridiculous. Look, look, I don't mean to sound like an old fart."
Raven,Which you are.
Charles,"Sometimes. But we've talked about this, Raven. A small slipup is one thing. A big one does not beer thinking about."
Raven,[to herself] Mutant and proud. Mutant and proud? (Spits) If only. Would you date me?
Charles,Of course I would. Any young would be lucky to have you. You are stunning.
Raven,Looking like this?
Charles,Like... What? Blue? You're my oldest friend.
Raven,I'm your only friend.
Charles,Thank you for that.
Raven,Well?
Charles,I'm incapable of thinking of you that way. You're... I feel responsible for you. Anything else would just feel wrong.
Raven,But what if you didn't know me?
Charles,"Unfortunately, I do know you. God, I don't know what's gotten into you lately. You're awfully concerned with your looks."
Raven,I'm sleepy. Will you read to me?
Charles,Can't. I have my thesis coming up. I have to study.
Raven,"Well, fine. Read that. Your thesis always sends me right off."
Charles,"""Homo neanderthalensis, his mutant cousin, Homo sapien,"" was an aberration. ""Peaceful cohabtation, if ever it existed, was short-lived. ""Records show without execption that the arrival of mutated human species in any region was followed by the immediate extinction of theor less evolved kin..."""
narrator,Eric goes into a French Bank
Nazi Guy,Possession of that gold is illegal. I should inform the police.
Erik,Let's not play this game.
Nazi Guy,Where did you get it?
Erik,"A friend. He recommended, your bank most highly."
Nazi Guy,"I see. Do you know our terms, sir?"
Erik,Yes. And you should know mine. This is what remains of my people.
Nazi Guy,Melted from their possessions. Torn from their teeth.
Erik,This is blood money. And you're going to help me find the bastards responsible for it. (Clicking tongue)
Nazi Guy,(Grunts)
Erik,Don't touch that alarm. I want Schmidt. Klaus Schmidt. Where is he?
Nazi Guy,Our clients don't provide addresses. We're not...
Erik,Not that sort of bank?
Nazi Guy,(Gasps)
Erik,"Metal fillings, eh? Not gold? Worried someone might steal them?"
Nazi Guy,Argentina! Schmidt is in Argentina! Villa Gesell! Please! (Groaning) (Panting)
Erik,Thank you. I would love to kill you. So mark my words. If you warn anyone I'm coming... ...I will find you. (in Las Vegas)
Man (Sighs),Another day at the office.
Woman,Is that Colonel Hendry?
Man,The NATO guy?
Woman,Yeah.
Man,"Yes, it is. 'Cause that's three Mob bosses, the Italian ambassador and the CEO of Lockhead."
Woman,"They can't all be Communists. This Hellfire Club, it's got to be something else."
Man,"(Chuckles) Do you see that? Hello, girls. Wow. Very, nice. What... what are you doing?"
Woman,Using some equipment the CIA didn't give me. Stay put.
Emma Frost,Colonel Hendry?
Bob,"Yes, ma'am."
Emma Frost,Emma Frost. Sebastion Shaw's associate.
Bob,And where is Mr. Shaw?
Emma Frost,"We're having a party, and here's the entertainment. Come with me."
Men,(Hollering and whistling)
Guy,"Hello, beautiful. How are you?"
Man,"Hey, baby. You want to find a quiet place?"
Woman,I'm so sorry. I've been booked by Colonel Hendry. Excuse me.
Shaw,"Are you sure we can't get you a refill, Bob?"
Bob,No.
Shaw,So I hear you blocked the proposal to position Jupiter missiles in Turkey. I expext you'll reconsider.
Bob,"We've had this conversation. You put our nukes in Turkey or anywhere that close to Russia, and you're looking at war. Nuclear war."
Bob,The only thing I will reconsider is having another glass of that delicious champagne. What the hell did you out in my drink? (Groans)
Woman,(Gasps)
Emma Frost (echoing),"You're thinking of running, hiding. We'd find you, Hendry. There's not a fortress in the world that could keep us out."
Shaw,"Magnificent, isn't she, Bob? Genetic mutation. The evolution of the human genome. Where's Azazel? Ah. We don't want the colonel to be late."
Azazel,Comrade.
General,"Missiles in Turkey send a very clear message. We ever decide to fire them, the Russian early warning system won't even have time to kick in."
Senator,"This better be important, MacTaggert. Whoa, whoa, whoa. Slow down. You smoking them funny cigarettes?"
Woman,"People don't disappear. Colonel Hendry was there. He was there, McCone, in the Hellfire Club."
Senator,Colonel Hendry?
Colonel Hendry,"I agree with you, General. I've reconsidered my position and I now believe we should put Jupiter missiles in Turkey."
Senator,"Colonel Hendry is here. So unless he magically traveled 3, 000 miles in the last ten minutes, listen to me, I suggest that you stop wasting my time."
Guy,Looks like Hendry wants to start World War III.
Senator,"I got bigger things to deal with right now, MacTaggert."
Woman,"Sir, I... God."
Man,"Have you lost your mind? So, well, now what?"
Woman,We find an expert on genetic mutation.
Man,"Professor of Genetics, Charles Francis Xavier."
Raven,"So, how does it feel to be a professor?"
Charles,"Oh, don't call me that. You don't get to be called professor until you actually have a teaching position."
Raven,"I know, but it suits you."
Charles,"Oh, don't say that. Do say ""Let's go have a drink,"" though."
Raven,Let's go havea drink.
Charles,Wonderful.
Erik,"Afternoon, gentlemen. Hot out there. Beer, please. German beer."
Man,Of course.
Guy,"Yes, it's Bitburger. You like it? (Laughs)"
Erik,The best.
Guy,What brings you to Argentina? The climate. I'm a pig farmer.
Erik,(Laughs)
narrator,"meets the two German Nazis at a bar Villa Gesell, Argentina"
Guy,Tailor. Since I was a boy. My father made the finest suits in Dusseldorf.
Erik,My parents were from Dusseldorf. What was their name? They didn't have a name. It was taken away from them... by pig farmers... ...and tailors. [reading the inscription written on the knife that he's just taken from the 1st German] Blood and honor. Which would you care to shed first?
Guy,We were under orders.
Erik,Blood then. [he stabs the knife into the Germans hand]
Guy,(Screams)
narrator,after he's killed the barman and the 2nd German using his powers
Man,"Freeze, asshole."
Tailor,"Come on, shoot."
Guy,(Screams) Who... what are you?
Erik,"Let's just say I'm Frankenstein's monster. [he gets up and walks over to look at the photo of Shaw mounted on the wall] And I'm looking for my creator. [using his power he gets the gun from the dead barman, turns and shoots the 1st German]"
Crowd (Chanting),Drink! Drink! Drink! Drink! Drink! Drink! Drink! Drink! Drink! Drink! Drink! Drink! Drink! Drink! Drink! Drink! (Cheering)
Charles,Yeah!
All,(Cheering)
Charles,(Laughs)
Raven,"(Laughs) Oh, I'm so proud of you."
Charles,Thank you. I need another drink. And you need another cola. (Clears throat)
Woman,"Congratulations, Professor."
Charles,"Thank you very much. It's-It's much harder than it looks, actually."
Woman,"No, on your presentation."
Charles,"Oh, you were at my presentation. How nice of you. Thank you very much."
Moira,Moira MacTaggert.
Charles,Charles Xavier.
Moira,Do you have a minute?
Charles,"For a pretty little bean with a mutated MCR-one gone, I have five. I say MCR-one, you would say auburn hair. It's a mutation. It's a very groovy mutation. Mutation, right, took us from single-called organisms to the dominant form of..."
Moira,"You know what? The routine may go over great with the co-eds, but I-I'm here on business."
Charles,What?
Moira,I really need your help.
Charles,All right.
Moira,he kind of mutations that you were talking about in your thesis-- I need to know if they may have already happened. In people alive today. [Charles reads her mind seeing the mutants she's seen] Professor? I think we should just talk when you're sober. Do you have any time tomorrow?
Charles,"Something tells me you already know the answer to your question. This is very important to me, and if I can help you, I will do my utmost."
Moira,Thank you.
Shaw,"Still drinking champagne, Bob?"
Bob,I will pass.
Shaw,"Okay, well, so much for the pleasantries. I was wondering... who you told about our little arrangement."
Bob,No one.
Emma Frost,He's telling the truth.
Shaw,"Good. Well, I guess we're done here. Let's wrap things up, shall we?"
Bob,"Oh, I know better than to trust you. Now, you let me walk out of here with my money or I will pull this pin and we all die."
Shaw,Go ahead. Pull it.
Bob,"I'll do it, I swear to God."
Shaw,But I will.
narrator,as he watches Shaw absorb the energy from the bomb
Bob,You're on of them?
Shaw,"Very asttute of you, Colonel Hendry. You want to guess what I can do? I've got the power to absorb energy-- keeps me young. That's the boring part. The fun stuff is what I can do with it once I've got it. [he touches Hendry and sets him on fire]"
Charles,The advent of the nuclear age may have accelerated the mutation process. Individuals with extraordinary abilities may already be among us. Thank you very much.
Senator,"MacTaggert, you really think that some crackpot scientist is gonna make me believe in. Sparkly dames and vanishing men? You just brought yourself a one-way ticket back to the typing pool. This meeting is over."
narrator,Moira gets up
Charles,"Uh, please sit down, Agent MacTaggert. I didn't really expect you to believe me, given that all you could think about during my presentation was what sort of pie they were serving in the commissary. It's apple pecan. I haven;t been entirely honest with you, love, Im sorry. You see, one of the many spectacular things my mutation allows me to do is that I can read your mind. "
Agent Stryker,I've seen this before in a magic show. Are you gonna ask us to think of a number between one and ten now?
Charles,"(Chuckles) No, Agent Stryker. Although, OI could ask you about your son, William, who you were thinking about, which is very nice. But I think I'd rather ask you about the Jupiter missiles America re currently placing in Turkey."
Senator,He's a goddamn spy. You brought a goddamned spy into this facility!
Moira,I did not.
All,(Clamoring)
Charles,How's that for a magic trick?
Man in Black,Best I've ever seen.
Senator,I want them out of here. And locked down until I can figure out what to do.
Man in Black,My facility is off-site. I'll take 'em.
Moira,"I can't believe this. You think the director of the CIA would have a little more composure. We should be going after Shaw right now, but instead he's up three worring about the wrong mutants. What are we gonna do, Levene? Levene? Levene, what's wrong with you?"
Charles,"Absolutely nothing. I've just frozen him for a moment 'cause I'd like to talk to you. It's good, isn't it? I'm as interested in this Sebastian Shaw as you are. And if you still want my help, meet me on the third floor of the parking garage."
Man in Black,"I've always known that there were people like you out there. I've been the laughingstock of this agency for years, but I knew it. You're gonna love my facility."
Charles,That's gonna have to wait.
Man in Black,Why?
Charles,"Agent MacTaggert has a lead on Sebastion Shaw, and if we don't move now, apparently, we're gonna lose him."
Man in Black,What?!
Raven,"Not only can he read minds, he can communicate with them as well."
narrator,Moira pulls up towards them in her car and Raven gets in
Charles,Moira and I have just had a lovely conversation.
Moira,"Yes, we did."
Man in Black,That is incredible!
Charles,(Laughs)
Man in Black,But... I-I cannot take you anywhere else without permission from upstairs.
Charles,Would you like to see one more magic trick?
Man in Black,Okay.
Charles,[using his power] Get in the car.
Man in Black,Good idea.
Erik,Herr Doktor.
Shaw,(Speaks German) Little Erik Lehnnsherr.
Emma Frost,He's here to kill you.
Erik,(Groans)
Shaw,What kind of greeting is that?
Erik,(Groans)
Shaw,...after all three years? Emma... (Clicking tongue) We don't harm our own kind. Ah! Now it's a party.
Man (On Megaphone),This is the U.S. Coast Guard. Do not attempt to move your vessel. Stay where you are.
Emma Frost,They have a telepath.
narrator,as Emma Frost stops him using his powers
Charles,I've lost Shaw. I've lo-- I've lost Shaw. Th-There's something blocking me. This has never happened to me before. I think there's someone like me on that ship.
Moira,Like you?
Charles,"Uh, I'm sorry, a telepath. This is incredible. I could actually feel her inside my head. I'm very sorry, but I don't think I'm gonna be much help to you tonight. you're on your own. Oh, my God."
Moira,Jesus.
Man in Black,Get inside.
Charles,"Stop, stop, stop, stop, stop, stop, stop."
Moira,(Panting) Charles? Are you okay?
Charles,There's someone else out there. There.
Shaw,Time to go.
Erik,(Grunts) (Metal groaning)
Charles,"Let go! You have to let it go! You got to hep him. You got to put someone in the water to help him. Let it go! You have to let it go! [as he jumps into the sea he speaks to Erik with his mind trying to stop him from killing Shaw] You can't. You'll drown. You have to let go. I know what this means to you, but you're going to die. Please, Erik, calm your mind."
Erik,(Gasping) Get off me! Get off me!
Charles,Calm down. Just breathe. We're here!
narrator,after Charles has stopped Erik from trying to kill Shaw
Erik,Who are you?
Charles,MY name's Charles Xavier.
Erik,You were in my head. How did you do it?
Charles,"You have your tricks, I have mine. I'm like you. Just calm your mind."
Erik,(Panting) I thought I was alone.
Charles,"You're not alone. Erik, you're not alone."
Man in Black,Welcome to my facility. My mission has been to investigate the application of paranormal powers in military defense.
Erik,Or offense.
Man in Black,"This guy Shaw, Schmidt, whatever you want to call him-- he's working with the Russians. We might need your help to stop him."
Charles,"Marvelous. So we are to be the CIA's new mutant division, yes?"
Man in Black,Something like that.
Hank,"It's, uh, supersonic. The most advanced plane ever built. You should see it in real life. It's incredible."
Man in Black,"Hank, these are the special new recruits I was telling you about. [to the others] This is Hank McCoy, one of our talented young researchers."
Charles,How wonderful. Another mutant already here. [he goes to shake Hanks hand] Why didn't you say?
Man in Black,Say what?
Charles,Because you don't know. [turning to Hank]
Hank,"I am so, so terribly sorry."
Man in Black,Hank?
Hank,"You didn't ask, so I didn't tell."
Raven,"So, your mutation is what? You're super smart?"
Charles,I'll say. Hank here graduated Harvard at the age of 15.
Hank,I wish that all it was.
Charles,"You're among friends now, Hank. You can show off. [Hank takes off his shoes and sock to reveal the mutation on his feet] (Chucking) Splendid."
Hank,I'm sorry.
Charles,"Yup, you... (Laughter)"
Hank,Ta-da!
Raven,You're amazing.
Hank,Really? (Gromyko speaking Russian on TV)
Newsman,"""The presence of U.S. missiles in Turkey represents an unprecedented threat to the people of the Soviet Union, "" warned Russian Foreign Minister Gromyko earlier today. But he was quick to insist the Russians would not be the first to initiate any military action."
Shaw,"Yeah, we'll fox that as soon as we get to Russia."
Emma Frost,Unless the CIA find us first.
Shaw,"I'll take care of them, too."
Emma Frost,"IF that telepath gets inside your head, he won't be as much fin as I am."
Shaw,"Already in hand, my love. [he gets up and goes to open a box and takes out a metal looking helmet] The Russians... ...made me this. [he puts on the helmet] So, what am I thinking?[Emma tries to read his mind but the metal helmet stops her getting access]"
Emma Frost,I don't know.
Shaw,(Chuckles) I was thinking that you are the most exquisite thing I've ever seen in my life. And that this needs ice. [pointing to his glass] Fetch me some. There's a good girl.
Hank,"I-I promised myself I'd find a cure, ever since I was a little boy. You have no idea what I'd give to feel..."
narrator,at the same time
Raven & Hank,Normal. [the both smile] (Chuckle)
Raven,"Charles has never understood. He's different, but he's never had to hide. Hank, this serum that you're making, it doesn't affect abilities, right? Just appearance? Normalizes it."
Hank,Yeah.
Raven,Do you think it would work on me?
Hank,"Well, I-I can look into it, if you'd like. I mean, it's the least I can do after asking you to come down here with such a weird request."
Raven,"(Chuckles) Well, I have to admit, usually when guys ask me out, they're not after my blood."
Hank,"Uh, s-sorry. I-I didn't intend to be forward. I was just-- I was excited. You know, uh, the-the nature of your mutation. If any genes hold the key to changing appearance, i-it's yours."
Raven,"Hank, you weren't being forward. That's kind of what I meant."
Hank,No. But I'm just sorry if you thought I was.
Raven,And I'm sorry that you weren't. [Raven moves closer to Hank] Go ahead. Take the blood.
narrator,he injects her with the needle to take blood and she winces from the pain
